Holidays and Observances in United States in 2018,,,,
30-Sep,Sunday,Gold Star Mother's Day,Observance,
,,,,
1-Oct,Monday,Shmini Atzeret,Jewish holiday,
,,,,
,,,,
,,,,
1-Oct,Monday,Child Health Day,Observance,
2-Oct,Tuesday,Simchat Torah,Jewish holiday,
,,,,
4-Oct,Thursday,Feast of St Francis of Assisi,Christian,
,,,,
,,,,
7-Oct,Sunday,Chicago Marathon,Sporting event,
8-Oct,Monday,Columbus Day,Local observance,"Florida, Vermont"
8-Oct,Monday,Columbus Day,Federal Holiday,"All except AK, AR, CA, DE, FL, HI, MI, MN, ND, NM, NV, OR, SD, TX, VT, WA, WY"
8-Oct,Monday,Native Americans' Day,Local observance,South Dakota
8-Oct,Monday,Indigenous People's Day,Local observance,"AK, CA*, MN*, NM, VT, WA*"
9-Oct,Tuesday,Navratri,Hindu Holiday,
,,,,
9-Oct,Tuesday,Leif Erikson Day,Observance,
,,,,
,,,,
,,,,
,,,,
13-Oct,Saturday,Navy Birthday,Observance,
,,,,
15-Oct,Monday,White Cane Safety Day,Observance,
,,,,
16-Oct,Tuesday,Boss's Day,Observance,
,,,,
18-Oct,Thursday,Dussehra,Hindu Holiday,
18-Oct,Thursday,Alaska Day,State holiday,Alaska
20-Oct,Saturday,Sweetest Day,Observance,13 states
,,,,
,,,,
26-Oct,Friday,Nevada Day,State holiday,Nevada
,,,,
,,,,
,,,,
31-Oct,Wednesday,Halloween,Observance,
,,,,
1-Nov,Thursday,All Saints' Day,Christian,
,,,,
2-Nov,Friday,All Souls' Day,Christian,
,,,,
4-Nov,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time,
4-Nov,Sunday,New York City Marathon,Sporting event,
,,,,
6-Nov,Tuesday,Election Day,State holiday,"DE, HI, IL, IN, MD, MI, MT, NJ, NY, RI, WV"
7-Nov,Wednesday,Diwali/Deepavali,"Observance, Hinduism",
8-Nov,Thursday,Return Day,State holiday,Delaware*
,,,,
10-Nov,Saturday,Marine Corps Birthday,Observance,
11-Nov,Sunday,Veterans Day,Federal Holiday,
,,,,
12-Nov,Monday,Veterans Day observed,Federal Holiday,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
21-Nov,Wednesday,The Prophet's Birthday,Muslim,
,,,,
22-Nov,Thursday,Thanksgiving Day,Federal Holiday,
23-Nov,Friday,State Holiday,State holiday,Georgia
23-Nov,Friday,Presidents' Day,State holiday,New Mexico
23-Nov,Friday,Lincoln's Birthday/Lincoln's Day,State holiday,Indiana
23-Nov,Friday,Day After Thanksgiving,State holiday,20 states
23-Nov,Friday,Family Day,State holiday,Nevada
23-Nov,Friday,Acadian Day,State holiday,Louisiana
23-Nov,Friday,Black Friday,Observance,
23-Nov,Friday,American Indian Heritage Day,State holiday,Maryland
,,,,
26-Nov,Monday,Cyber Monday,Observance,
,,,,
,,,,
,,,,
1-Dec,Saturday,Rosa Parks Day,Local observance,"Ohio, Oregon"
2-Dec,Sunday,First Sunday of Advent,Christian,
,,,,
3-Dec,Monday,Chanukah/Hanukkah (first day),Jewish holiday,
,,,,
,,,,
,,,,
6-Dec,Thursday,St Nicholas Day,Observance,
,,,,
7-Dec,Friday,Pearl Harbor Remembrance Day,Observance,
8-Dec,Saturday,Feast of the Immaculate Conception,Christian,
,,,,
,,,,
10-Dec,Monday,Last Day of Chanukah,Jewish holiday,
,,,,
,,,,
12-Dec,Wednesday,Feast of Our Lady of Guadalupe,Christian,
13-Dec,Thursday,National Guard Birthday,Observance,
15-Dec,Saturday,Bill of Rights Day,Observance,
17-Dec,Monday,Pan American Aviation Day,Observance,
17-Dec,Monday,Wright Brothers Day,Observance,
,,,,
,,,,
,,,,
21-Dec,Friday,December Solstice,Season,
24-Dec,Monday,Christmas Eve,Federal Holiday,
24-Dec,Monday,Washington's Birthday,State holiday,"Georgia, Indiana"
25-Dec,Tuesday,Christmas Day,Federal Holiday,
26-Dec,Wednesday,Kwanzaa (first day),Observance,
26-Dec,Wednesday,Day After Christmas Day,State holiday,"KS, NC, SC, TX"
31-Dec,Monday,New Year's Eve,Observance,
31-Dec,Monday,New Year's Eve,State holiday,"LA, MI, WI"
